video_id,channel_name,is_competitor,video_title,thumbnail_description,views,ctr,avg_watch_time_min,retention_30s,retention_1min,retention_50,upload_day,upload_time,video_length_min,content_type
V01,MyChannel,0,I Tried Waking Up at 5AM for 7 Days,Shocked face bold text THIS CHANGED ME,82000,8.4,6.2,72,64,48,Monday,18:00,10,Vlog
V02,MyChannel,0,Why Most People Fail at YouTube,Serious face red text HARD TRUTH,64000,9.1,5.1,68,60,42,Wednesday,20:00,9,Commentary
V03,MyChannel,0,How YouTube Algorithm Really Works,Clean design arrow pointing to graph,110000,10.5,7.8,80,74,60,Saturday,11:00,12,Tutorial
V04,MyChannel,0,I Uploaded Daily for 30 Days,Tired face yellow text EXHAUSTING,45000,7.2,3.9,55,48,30,Sunday,22:00,14,Vlog
V05,MyChannel,0,This Thumbnail Trick Boosted Views,Bold arrow before after image,97000,11.2,6.9,78,70,57,Friday,19:00,11,Tutorial
V06,MyChannel,0,Why My Last Video Failed,Confused face small text BIG MISTAKE,18000,6.1,2.8,42,35,18,Tuesday,23:30,8,Commentary
V07,MyChannel,0,How Much YouTubers Really Earn,Shocked face green money icons,130000,12.0,8.2,83,76,65,Saturday,10:30,13,Explainer
V08,MyChannel,0,I Copied a Viral Video Format,Split screen copied vs original,52000,8.9,4.5,60,52,35,Thursday,21:00,10,Experiment
V09,MyChannel,0,Stop Making These Editing Mistakes,Angry face bold red STOP,76000,9.6,6.0,74,66,50,Friday,18:30,9,Tutorial
V10,MyChannel,0,Why No One Clicks Your Videos,Plain thumbnail low contrast text,24000,5.4,2.5,40,32,15,Monday,23:45,7,Commentary

V11,CompetitorA,1,I Gained 100k Subs in 3 Months,Smiling face big numbers 100K,310000,13.5,9.0,85,78,70,Saturday,09:00,14,CaseStudy
V12,CompetitorA,1,How I Write Viral Titles,Bold text STEAL THIS,220000,14.2,7.5,82,74,63,Friday,17:00,11,Tutorial
V13,CompetitorA,1,Daily Vlogging Ruined My Channel,Sad face text REGRET,90000,8.0,3.6,50,44,28,Sunday,21:30,15,Vlog
V14,CompetitorA,1,This CTR Hack Is Insane,Big arrow red circle CTR,280000,15.1,8.7,88,81,72,Thursday,18:00,12,Explainer
V15,CompetitorA,1,Why I Quit Long Videos,Minimal text BIG CHANGE,120000,9.4,4.1,58,50,34,Tuesday,20:00,16,Commentary

V16,CompetitorB,1,I Posted at the Wrong Time,Dark thumbnail text ALGORITHM KILLED IT,26000,6.0,2.2,38,30,14,Monday,02:00,9,Vlog
V17,CompetitorB,1,Shorts vs Long Videos,Split image shorts vs long,140000,11.8,6.3,76,69,52,Wednesday,12:00,10,Analysis
V18,CompetitorB,1,This Hook Keeps Viewers Watching,Countdown timer bold hook text,195000,13.0,8.1,84,78,68,Saturday,10:00,12,Tutorial
V19,CompetitorB,1,Why Your Retention Drops Fast,Graph dropping red arrow,88000,9.9,5.0,65,58,40,Friday,19:30,11,Explainer
V20,CompetitorB,1,I Used Clickbait for a Week,Exaggerated shocked face,102000,12.6,3.2,45,38,20,Sunday,22:00,8,Experiment

V21,CompetitorC,1,The Psychology of Thumbnails,Human brain graphic arrow,210000,14.8,8.4,86,80,71,Thursday,16:00,13,Education
V22,CompetitorC,1,Why Your First 30 Seconds Matter,Timer icon bold 30 SEC,175000,13.2,7.9,90,85,74,Saturday,11:30,10,Tutorial
V23,CompetitorC,1,I Changed One Thing Instant Growth,Before after arrow upward,260000,15.5,9.2,88,82,76,Friday,18:00,12,CaseStudy
V24,CompetitorC,1,Posting Daily Is Overrated,Text UNPOPULAR OPINION,95000,8.7,4.0,55,48,32,Monday,21:00,14,Commentary
V25,CompetitorC,1,This Video Should Have Gone Viral,Confused face question marks,32000,7.1,6.8,78,72,58,Tuesday,01:00,11,Explainer

V26,CompetitorD,1,How I Script My Videos,Notebook arrows highlighted,145000,12.4,7.2,81,75,60,Wednesday,18:00,12,Tutorial
V27,CompetitorD,1,Why Viewers Click Then Leave,Split happy sad faces,67000,10.1,3.5,48,40,22,Sunday,20:00,9,Analysis
